course_id,course_name,professor_id,professor_name,student_ids,day,time,student_count,professor_busy,course_repeat,preferred_slot
C20201,Math,P39531,Prof. Johnson,"S88284,S07422,S36151,S02235,S52532,S93774,S57031,S95077,S30994,S84047,S73876,S26877,S56572,S51790,S89137,S22307,S11700,S45510,S42802,S70207,S52407,S77599,S79107",Wednesday,09:00,48,22,29,
C89384,Chemistry,P24550,Prof. Davis,"S97533,S51990,S68014,S29575,S22473,S14820,S68405,S57410,S20613,S28140,S80845,S79949,S17819,S86379,S92144,S14513,S79122,S12457,S88883",Wednesday,09:00,10,21,21,Thursday-13:00
C16620,Physics,P02884,Prof. Wilson,"S58907,S87505,S64419,S59902,S96007,S26698,S20755,S73832,S83322,S14775,S57256,S87383",Thursday,15:00,34,24,33,Tuesday-11:00
C35915,Physics,P11679,Prof. Jones,"S54254,S97427,S18948,S02342,S28447,S34250,S35057,S03906,S04694,S40255,S76341,S66833,S05479,S27476,S07503",Wednesday,13:00,48,19,33,Tuesday-11:00
C81395,Philosophy,P58928,Prof. Jones,"S63620,S97154,S60243,S04176,S13267,S54763,S96474,S87781,S42400,S39795,S52363,S75277,S85186,S21646,S86845",Friday,15:00,25,19,28,Friday-12:00
C03532,Philosophy,P25040,Prof. Miller,"S84336,S22980,S43135,S96781,S95405,S85408,S29525,S45465,S33017,S78916,S34110,S18217,S13000,S51831,S40322,S10546,S42227,S14885,S32878,S81112,S69698",Monday,14:00,41,35,28,Friday-12:00
C32554,Philosophy,P77126,Prof. Miller,"S09552,S74104,S83958,S18845,S95379,S06617,S54910,S41053,S82791,S31273,S58623,S69202,S46632,S07277,S61449,S57221,S87315,S09132,S25505,S91984",Monday,12:00,7,35,28,Friday-12:00
C79997,Math,P85463,Prof. Brown,"S59219,S71417,S47628,S30437,S49224,S38955,S14432,S50755,S00404,S24215,S71316,S15846,S60821,S36695,S51835,S36435,S55814",Monday,11:00,8,29,29,
C77472,Philosophy,P40261,Prof. Wilson,"S08049,S73671,S10794,S12032,S61367,S54971,S92145,S14383,S08929,S09158,S20134,S81956,S15779,S00819,S94317,S96021",Thursday,16:00,45,24,28,Friday-12:00
C62701,Math,P50477,Prof. Miller,"S64622,S00680,S76750,S61035,S21113,S22233,S33661,S79527,S32357,S15472,S23742,S91649,S20120,S91918,S16066,S97225,S92491,S92788,S86595,S58702,S20490,S61608,S90982,S85190,S20023,S74327,S37241,S61815",Monday,10:00,50,35,29,
C22689,Chemistry,P85010,Prof. Miller,"S57255,S69067,S75197,S45990,S73838,S94093,S71469,S94002,S41820,S08948,S55484,S51222,S03575,S80875,S22559,S08686,S90137,S47872,S39216,S08201,S21286,S03911,S60325",Friday,12:00,8,35,21,Thursday-13:00
C52114,Biology,P00222,Prof. Brown,"S91063,S96466,S46834,S29171,S93717,S57894,S90438,S88713,S12945,S42468,S36846,S78764,S79667,S67764,S55330,S13103,S40447,S73644,S39519,S05070,S27869,S81295,S37774,S29912,S42029,S20364",Tuesday,15:00,13,29,22,Wednesday-12:00
C98910,Biology,P29835,Prof. Smith,"S47402,S55668,S14731,S06734,S51642,S28088,S53962,S99650,S60885,S89015,S77215,S27608,S86386,S80401,S34003,S69063,S99931,S86931,S14437,S64865,S26479,S87113,S06616,S90403",Thursday,14:00,16,32,22,Wednesday-12:00
C02999,Physics,P48790,Prof. Johnson,"S31330,S95869,S71094,S21117,S17484,S78860,S61075,S06177,S82685,S51810,S86456,S66725,S90856,S03768,S45655",Tuesday,10:00,28,22,33,Tuesday-11:00
C35073,Biology,P81476,Prof. Smith,"S32142,S60695,S62863,S25232,S18085,S98186,S11790,S93789,S70372,S55514,S84424,S88522,S46918,S40543,S37385,S76956,S62488,S93232,S62107,S76161,S90528,S10532,S40848,S48489,S82229,S26970,S07670,S76409,S78138,S50644",Monday,14:00,16,32,22,Wednesday-12:00
C22494,Physics,P39005,Prof. Wilson,"S92211,S25072,S44807,S19109,S58254,S13044,S14808,S60338,S51814,S37957,S92323,S40967,S40128,S74737,S27515,S88279,S70166,S33593,S67611,S63931,S63992,S63705,S08671",Tuesday,12:00,49,24,33,Tuesday-11:00
C30860,Economics,P25467,Prof. Smith,"S97989,S95480,S69694,S15833,S67506,S75696,S29621,S48646,S30569,S49374,S46081,S56506,S29190,S05539,S65549,S55595,S55934,S23115,S66925",Tuesday,11:00,41,32,24,Tuesday-14:00
C42143,Chemistry,P38623,Prof. Miller,"S30937,S10282,S88781,S93604,S95526,S01916,S83049,S78047,S03319,S68083",Wednesday,16:00,35,35,21,Thursday-13:00
C08288,History,P03122,Prof. Smith,"S89094,S29576,S28652,S40006,S32604,S23452,S87681,S39525,S87246,S65721,S17088,S59897,S54031,S91845",Monday,13:00,15,32,26,Friday-14:00
C92512,CS,P89202,Prof. Davis,"S83497,S62707,S47611,S19791,S84615,S89496,S23822,S80721,S38157,S25788,S10956,S77569,S37516,S83789,S26534,S15855,S82713,S94650,S25884,S56694,S23076,S98977,S78174",Friday,12:00,19,21,17,
C94846,Philosophy,P51092,Prof. Brown,"S84152,S23681,S90949,S21251,S52002,S06792,S29373,S22772,S43739,S68683,S04684,S96473,S57681,S65050,S41100,S83590,S40892,S67569,S10722,S47842,S81037,S74557,S87821,S62443,S82179,S51017,S55480,S16189",Friday,16:00,40,29,28,Friday-12:00
C99038,Physics,P22520,Prof. Smith,"S36488,S77049,S46100,S93560,S32018,S57526,S26813,S74432,S75273,S87221,S86824,S51733,S16441,S61649,S18742,S61980,S30020,S63082,S55321,S63101,S85161,S72724,S81875,S84381,S26899,S77037",Thursday,14:00,10,32,33,Tuesday-11:00
C92222,Chemistry,P62455,Prof. Brown,"S95773,S83504,S43236,S77390,S79568,S17995,S88211,S70191,S88879,S80437,S59931,S04926,S20073,S17218,S84806,S00835,S31870,S74779,S21290,S20406",Wednesday,10:00,15,29,21,Thursday-13:00
C24502,Physics,P81930,Prof. Johnson,"S50784,S70143,S57697,S98717,S56677,S33584,S54882,S51016,S51612,S74983,S68592",Tuesday,16:00,8,22,33,Tuesday-11:00
C41287,Physics,P62637,Prof. Wilson,"S23168,S41882,S32417,S13622,S27068,S06836,S80133,S66012,S11107,S52831,S25264,S39468,S82213,S86456,S93172,S94970,S93105,S83445,S88463,S02472,S27379,S17126,S38711,S75385,S19137,S22178,S63453,S23978,S17386",Thursday,09:00,17,24,33,Tuesday-11:00
C84317,Math,P32345,Prof. Johnson,"S08273,S25661,S32657,S50509,S42694,S95433,S81303,S38460,S27299,S51773,S03390,S78199,S03331,S70912,S68195,S10284,S42171,S08210,S17457,S13305,S15599,S38217,S81103",Friday,11:00,26,22,29,
C13086,Math,P44938,Prof. Davis,"S34465,S15146,S09512,S84983,S41339,S58768,S75338,S62092,S27471,S94369,S86232,S98018,S70293,S37686,S88703,S57763,S10110,S29922,S94164,S49997,S41505,S80622,S15744,S08477,S34539,S39248,S20091,S76616,S36959,S35725",Thursday,15:00,18,21,29,
C73444,History,P45612,Prof. Davis,"S76667,S91889,S33087,S74661,S77708,S21793,S97485,S66432,S76534,S08307,S32408,S73437,S92986,S28885,S45307,S73638",Tuesday,13:00,25,21,26,Friday-14:00
C72684,Biology,P04900,Prof. Brown,"S09514,S58485,S48824,S44356,S86040,S41000,S64711,S14696,S75952,S09777,S13021,S10528,S72762,S94730,S51423,S79481,S80539,S77682,S43577,S01640,S26721,S50042,S83846,S00008",Tuesday,16:00,46,29,22,Wednesday-12:00
